State,Station,Note,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2005
Alabama,"Anniston, Alabama",,"2,486","1,948","2,369","4,244","3,833","4,255","4,871","5,085","5,200","5,835","6,209","6,694","5,955","2,419"
Alabama,"Atmore, Alabama",,,,,,,,,,,,,,,115
Alabama,"Birmingham, Alabama",,"21,211","14,935","17,474","37,605","40,585","42,512","42,930","44,985","46,610","48,759","48,734","48,196","45,089","16,558"
Alabama,"Mobile, Alabama",,,,,,,,,,,,,,,570
Alabama,"Tuscaloosa, Alabama",,"5,389","3,720","4,871","9,323","10,228","10,571","10,594","10,922","11,360","11,598","12,290","12,032","12,533","4,904"
Arizona,"Benson, Arizona",,"1,743","1,224","1,218","1,947","1,939","2,036","2,013","2,073","1,961","1,833","1,367","1,208","1,091",537
Arizona,"Flagstaff, Arizona",,"25,499","16,693","20,981","43,453","43,421","39,803","41,053","40,800","39,183","40,390","41,014","41,252","41,775","17,370"
Arizona,"Kingman, Arizona",,"6,919","4,567","5,536","8,691","9,065","9,944","9,904","10,794","9,765","10,523","10,768","10,944","10,160","3,142"
Arizona,"Maricopa, Arizona",,"10,520","8,251","7,843","11,194","11,744","11,849","11,250","12,162","12,729","12,945","10,804","9,819","8,764","3,023"
Arizona,"Tucson, Arizona",,"19,115","14,567","15,715","25,695","28,183","29,146","27,301","28,682","27,917","25,921","23,896","23,340","21,095","6,880"
Arizona,"Williams Junction, Arizona",,,,,,,"9,672","8,051","6,738","6,025","6,944","7,487","7,646","7,642","2,889"
Arizona,"Williams Junction, Arizona",Service discontinued as of 1/1/18,,,,,"2,032",,,,,,,,,
Arizona,"Winslow, Arizona",,"2,652","1,773","2,437","4,371","4,345","4,187","4,481","5,074","4,428","4,625","5,034","5,399","5,274","1,378"
Arizona,"Yuma, Arizona",,"4,403",,"3,366","4,285","4,525","4,605","4,576","4,296","3,772","3,891","4,011","3,386","3,676",877
Arkansas,"Arkadelphia, Arkansas",,956,587,811,"1,389","1,433","1,390","1,177","1,308","1,527","1,787","1,602","1,574","1,486",481
Arkansas,"Hope, Arkansas",,"1,322",779,"1,013","1,579","1,650","1,691","1,608","1,612","1,911","1,310",,,,
Arkansas,"Little Rock, Arkansas",,"13,492","8,439","10,538","17,755","19,406","20,574","18,333","19,676","19,652","22,351","24,036","23,336","22,218","7,290"
Arkansas,"Malvern, Arkansas",,"1,558",878,"1,038","1,598","1,693","1,688","1,729","1,760","1,896","2,101","2,105","1,750","1,833",779
Arkansas,"Texarkana, Arkansas",,"4,814","3,135","3,420","5,214","6,133","6,231","6,207","6,894","7,853","8,903","8,849","8,646","7,867","2,983"
Arkansas,"Walnut Ridge, Arkansas",,"2,340","1,565","1,975","2,878","3,421","3,486","3,345","3,738","4,046","4,731","4,766","4,311","4,565","1,343"
California,"Anaheim, California",,"158,796","71,651","112,054","239,471","281,379","287,415","282,700","270,819","254,066","342,284","358,810","352,363","331,666","157,609"
California,"Antioch-Pittsburg, California",,"24,262","19,035","22,331","34,615","35,345","38,103","39,995","43,217","43,231","43,953","39,001","34,794","34,417","9,455"
California,"Auburn, California",,"5,357","1,587","6,730","15,325","14,243","13,352","15,732","14,779","16,383","49,686","28,396","29,438","31,092","16,707"
California,"Bakersfield, California",,"314,684","196,791","250,609","424,157","442,023","482,276","491,824","513,884","521,423","546,439","507,058","476,767","413,172","185,089"
California,"Barstow, California",,"1,959","1,567","2,457","3,112","3,400","3,509","3,153","3,463","3,096","3,586","3,433","3,870","3,609","1,380"
California,"Berkeley, California",,"57,302","25,999","83,958","174,656","173,579","156,226","150,636","136,997","133,855","153,080","152,096","142,510","133,152","35,444"
California,"Burbank, California",,"43,671","20,653","32,607","63,749","62,478","73,814","68,918","67,924","60,685","51,998","47,217","47,928","41,997","14,050"
California,"Camarillo, California",,"31,862","11,807","27,819","53,219","54,252","54,582","52,310","51,831","46,120","39,634","37,393","36,686","33,165","9,696"
California,"Carlsbad Poinsettia, California",,,,,,,"10,074","10,556","9,363","5,977",0,,,,
California,"Carlsbad Poinsettia, California","Service ended on 10/9/17, during Fiscal 2018",,,,,120,,,,,,,,,
California,"Carlsbad Village, California",,,,,,"9,904","14,522","14,843","13,455","8,030",0,,,,
California,"Carlsbad Village, California",Service ended 10/8/18 within FY19.,,,,160,,,,,,,,,,
California,"Carpinteria, California",,"15,883","9,242","15,585","32,597","49,813","32,701","30,762","29,461","28,628","25,496","20,587","20,064","20,149","7,048"
California,"Chatsworth, California",,"38,654","17,752","28,853","62,464","62,354","72,278","71,133","72,132","63,980","56,493","52,543","52,401","49,178","19,828"
California,"Chico, California",,"7,625","3,383","7,544","10,580","10,414","12,154","13,144","13,736","13,125","12,875","11,009","9,843","10,067","2,862"
California,"Colfax, California",,"3,753","2,034","3,370","5,845","5,658","7,035","6,277","4,631","4,810","4,479","4,377","4,036","4,322","1,622"
California,"Corcoran, California",,"14,964","9,951","17,610","26,789","24,646","28,440","30,104","32,331","34,539","31,542","29,072","27,424","27,375","11,745"
California,"Davis, California",,"163,636","70,194","194,029","380,034","390,060","375,626","379,073","372,554","358,350","424,114","445,416","443,168","409,611","171,637"
California,"Dunsmuir, California",,"3,496","2,160","3,680","5,178","4,654","5,330","5,958","6,166","5,892","5,912","5,385","5,370","4,879","1,989"
California,"Emeryville, California",,"283,631","164,264","279,498","585,849","595,017","581,138","581,573","587,926","578,386","598,859","586,876","583,865","529,965","254,039"
California,"Encinitas, California",,,,,,,"13,224","12,975","11,945","7,151",0,,,,
California,"Encinitas, California","Service ended on 10/9/17, during Fiscal 2018",,,,,122,,,,,,,,,
California,"Fairfield-Vacaville, California",,"39,248","28,245","61,003","101,369",,,,,,,,,,
California,"Fairfield-Vacaville, California","Service added on 11/13/17, during Fiscal 2018",,,,,"53,375",,,,,,,,,
California,"Fremont, California",,"21,216","9,341","23,234","48,512","44,371","41,751","40,617","35,475","34,446","38,471","43,737","43,515","39,162","13,772"
California,"Fresno, California",,"221,781","136,415","194,144","368,262","377,709","374,479","369,582","387,640","389,543","399,141","394,074","371,875","352,737","128,284"
California,"Fullerton, California",,"172,130","86,618","129,611","256,594","304,880","399,695","388,068","370,334","336,265","313,949","310,694","436,383","411,489","201,862"
California,"Glendale, California",,"31,521","13,227","22,226","44,390","43,351","55,032","52,395","51,009","48,631","41,936","40,070","39,913","37,117","17,342"
California,"Goleta, California",,"52,365","19,947","57,055","110,409","108,414","78,365","76,286","75,677","74,359","70,291","57,033","62,310","59,911","25,640"
California,"Great America (Santa Clara), California",,"39,593","19,970","100,196","194,677","176,925","167,475","151,802","131,129","113,189","120,140","121,246","115,989","104,041","37,275"
California,"Grover Beach, California",,"12,748","6,446","8,815","13,293","12,447","18,879","18,987","19,437","19,530","19,169","18,005","17,326","17,944","6,489"
California,"Guadalupe-Santa Maria, California",,"9,744","5,148","5,929","9,298","8,706","12,430","12,227","12,718","12,162","11,719","11,250","10,649","10,018","3,425"
California,"Hanford, California",,"97,628","60,573","93,645","181,209","190,403","196,702","201,098","213,923","220,144","225,708","210,682","199,291","187,865","69,588"
California,"Hayward, California",,"20,641","10,328","38,591","70,383","57,815","50,361","47,351","40,631","35,798","35,409","35,342","30,603","29,984","11,416"
California,"Irvine, California",,"180,103","108,774","184,298","347,262","438,553","440,986","450,732","421,736","406,451","425,041","421,619","664,263","630,190","281,576"
California,"Laguna Niguel, California",,,,,,,,,,,805,"2,125","2,938","2,644",
California,"Lodi, California",,"1,584",,"4,639","11,285","9,278","7,978","8,617","10,185","9,838","9,695","8,439","7,422","7,443","2,851"
California,"Lompoc-Surf, California",,"7,560","3,712","5,093","6,610","5,946","7,823","7,921","8,158","8,097","8,341","7,096","5,950","6,422","2,219"
California,"Los Angeles, California",,"928,558","466,417","708,925","1,413,006","1,717,405","1,716,392","1,635,039","1,589,391","1,551,090","1,643,706","1,657,446","1,606,121","1,517,342","690,068"
California,"Madera, California",,"19,014","11,819","16,854","27,591","28,384","27,751","27,136","27,718","28,993","27,474","24,770","21,739","20,031","5,565"
California,"Martinez, California",,"176,571","124,389","197,953","352,068","346,051","347,095","364,372","363,717","359,755","473,836","475,909","446,507","410,968","150,222"
California,"Merced, California",,"94,304","48,737","78,318","133,311","126,793","126,148","121,137","128,327","129,179","134,138","125,316","114,401","103,505","37,641"
California,"Metrolink Station Orange, California 92866",,,,,,,,,,,919,"2,302","3,025","2,439",
California,"Modesto, California",,"76,286","51,281","70,147","116,342","112,292","115,672","117,422","121,389","122,998","127,886","118,226","104,647","96,662","35,883"
California,"Moorpark, California",,"16,960","1,050","7,686","17,539","18,298","21,881","21,726","20,696","18,616","15,212","14,431","13,191","12,293","4,595"
California,"Moreno Valley, California",,,,,,,,,,"12,105","12,431","12,197","11,679","10,806",
California,"Moreno Valley, California","Riverside, California",,,,,,"12,029","12,287","12,837",,,,,,
California,"Napa, California",,,6,,,,,,,,,,,,
California,"Needles, California",,"4,667","3,633","5,682","8,641","9,124","9,176","8,017","8,656","8,386","8,640","9,118","8,840","9,481","4,581"
California,"Oakland Coliseum, California",,"23,557","17,233","41,310","92,730","87,842","77,057","70,520","57,491","52,260","30,133","26,272","22,113","20,785",809
California,"Oakland, California",,"154,266","97,880","211,617","396,640","388,533","371,257","344,112","319,336","303,431","405,627","416,800","379,851","355,128","143,147"
California,"Oceanside, California",,"185,734","106,892","142,524","258,266","432,838","394,122","416,021","385,128","412,711","384,786","344,562","311,834","293,012","155,251"
California,"Ontario, California",,"3,374","2,926","2,662","4,077","4,655","4,575","4,864","4,824","4,687","5,100","5,185","5,422","4,756","1,416"
California,"Oxnard, California",,"59,653","36,307","49,530","91,436","103,074","94,000","92,805","96,662","90,334","79,137","81,231","78,085","74,468","34,912"
California,"Palm Springs, California",,"2,224","1,171","2,217","3,045","2,925","3,142","3,042","3,130","3,068","3,113","4,945","5,897","6,061",810
California,"Paso Robles, California",,"8,197","3,923","6,549","11,808","10,769","11,377","12,037","12,149","12,065","12,338","11,728","10,122","10,372","2,643"
California,"Pomona, California",,"1,131","1,052","1,097","1,607","1,540","1,601","1,716","1,812","1,616","1,461","1,614","1,517","1,523",351
California,"Redding, California",,"6,625","4,382","7,801","10,135","9,822","10,475","11,208","12,345","13,263","13,269","12,059","11,440","10,322","3,153"
California,"Richmond, California",,"114,929","60,116","155,109","291,270","289,928","292,453","269,838","251,372","241,962","266,237","281,999","276,114","271,486","106,821"
California,"Riverside, California",,"6,947","4,926","6,706","10,973","11,862",,,,,,,,,"3,100"
California,"Rocklin, California",,"5,031","2,113","8,793","17,199","16,918","15,926","16,403","15,074","15,414","28,953","32,993","36,329","34,263","15,635"
California,"Roseville, California",,"21,022","7,976","21,274","39,289","38,852","38,638","39,409","34,528","32,539","50,338","62,233","67,831","67,796","29,334"
California,"Sacramento, California",,"456,647","255,183","565,196","1,100,550","1,089,223","1,073,584","1,051,001","1,027,013","1,022,322","1,132,750","1,186,958","1,175,046","1,107,220","472,450"
California,"Salinas, California",,"16,160","7,379","11,469","19,965","19,242","20,564","21,498","21,836","22,204","21,942","19,879","18,164","18,935","6,388"
California,"San Bernardino, California",,"6,855","3,883","6,736","10,275","10,861","12,035","11,579","12,287","12,488","11,349","11,554","10,552","10,080","4,688"
California,"San Clemente Pier, California",,"14,107","7,563","6,707","15,753","14,592","14,926","15,396","13,559","13,206","15,017","9,912","9,223","9,990","2,534"
California,"San Diego-Old Town, California",,"253,617","113,163","174,880","362,340","350,518","300,245","267,481","238,288","196,795","135,749","61,188","22,867","21,616","7,852"
California,"San Diego, California",,"443,091","235,775","319,689","652,818","699,430","777,961","777,352","773,497","700,107","686,953","708,934","753,739","715,043","432,248"
California,"San Jose, California",,"110,949","51,848","125,113","238,638","230,387","223,028","223,055","215,158","210,297","258,776","234,767","224,756","202,512","77,307"
California,"San Juan Capistrano, California",,"117,526","71,260","90,699","194,555","237,776","229,153","229,408","226,596","226,515","242,722","244,992","230,481","223,580","126,214"
California,"San Luis Obispo, California",,"75,279","30,449","48,229","72,922","70,090","105,156","107,778","110,966","110,415","115,028","108,439","101,659","99,778","37,498"
California,"Santa Ana, California",,"95,854","50,733","72,968","143,020","191,609","194,581","191,716","182,291","185,327","202,919","201,842","170,036","152,733","85,073"
California,"Santa Barbara, California",,"213,697","123,317","160,074","317,664","365,077","341,899","338,069","333,994","319,245","322,410","304,382","317,617","295,079","111,339"
California,"Santa Clara (University), California",,"21,489","6,350","33,870","67,887","56,127","45,135","42,644","30,267","21,732","8,635","1,633",,,
California,"Simi Valley, California",,"26,689","16,690","23,948","46,391","43,456","52,064","51,049","49,756","46,008","40,126","40,697","41,136","38,946","14,599"
California,"Solana Beach, California",,"176,089","94,621","165,202","369,414","388,823","387,956","396,157","408,248","384,547","428,841","421,614","443,386","408,060","206,230"
California,"Sorrento Valley, California",,,,,,"21,413","27,335","20,720","16,523","9,746",0,,,,
California,"Sorrento Valley, California",Service ended 10/8/18 within FY19.,,,,463,,,,,,,,,,
California,"Stockton (Downtown), California",,"2,824",1,"8,818","16,517",,"32,266","37,916","40,428","41,488","43,230","40,056","38,401","34,188","6,740"
California,"Stockton (Downtown), California",Downtown,,,,,"24,602",,,,,,,,,
California,"Stockton (San Joaquin St.), California",,"212,527","156,622","183,931","276,886",,"297,699","283,213","293,861","292,818","295,344","277,926","260,115","238,868","83,236"
California,"Stockton (San Joaquin St.), California",San Joaquin St.,,,,,"289,116",,,,,,,,,
California,"Suisun-Fairfield, California",,"38,530","30,771","70,243","128,369","140,394","164,709","167,994","164,288","162,062","196,038","200,402","192,471","171,381","56,060"
California,"Truckee, California",,"9,997","5,747","9,138","15,104","15,251","14,879","14,675","10,846","10,509","9,855","9,450","8,399","9,139","2,949"
California,"Turlock-Denair, California",,"21,437","12,378","18,729","32,633","30,492","29,924","29,197","29,791","29,197","28,221","25,308","23,454","21,668","6,579"
California,"Van Nuys, California",,"44,026","22,171","34,754","67,522","74,209","82,417","80,405","80,957","79,294","75,762","73,665","74,163","70,551","30,402"
California,"Ventura, California",,"43,659","23,357","41,907","83,095","91,741","67,522","65,328","61,812","58,938","55,434","47,482","47,457","45,385","16,024"
California,"Victorville, California",,"4,554","2,584","3,680","5,501","5,911","6,292","6,664","7,266","6,692","7,290","6,764","6,488","5,558","1,848"
California,"Wasco, California",,"22,781","13,916","26,997","39,232","36,559","41,828","41,424","39,678","42,159","49,245","21,117","18,209","18,044","5,340"
Colorado,"Denver, Colorado",,"104,513","61,216","89,764","142,974","143,986","154,706","139,652","126,403","111,426","108,124","113,393","115,342","128,410","65,194"
Colorado,"Fort Morgan, Colorado",,"2,019","1,614","2,153","3,473","3,445","3,448","3,539","3,705","3,551","3,196","3,343","3,191","3,349","1,450"
Colorado,"Glenwood Springs, Colorado",,"32,519","22,968","25,828","42,418","44,430","46,079","46,818","39,713","34,489","33,113","33,245","33,776","34,227","14,986"
Colorado,"Granby, Colorado",,"3,256","2,305","2,904","4,863","5,034","4,950","4,677","3,945","3,347","3,408","3,528","3,621","3,655","1,371"
Colorado,"Grand Junction, Colorado",,"20,712","14,995","19,071","32,662","32,540","30,896","32,302","29,811","29,672","29,826","31,999","29,218","28,835","10,835"
Colorado,"La Junta, Colorado",,"4,799","3,525","4,583","7,061","7,373","7,009","7,080","7,256","6,918","6,711","6,566","6,653","7,264","3,471"
Colorado,"Lamar, Colorado",,915,673,"1,028","1,573","1,588","1,673","1,879","1,928","1,812","1,823","1,936","1,840","1,897","1,015"
Colorado,"Trinidad, Colorado",,"4,896","3,733","3,859","6,060","5,635","5,415","5,747","5,158","4,592","4,765","4,770","4,535","4,102","2,197"
Colorado,"Winter Park Resort (seasonal), Colorado",,"16,958",,"17,114","18,996","13,033","16,568",,,,,,,,
Colorado,"Winter Park-Fraser, Colorado",,"6,466","3,500","8,042","10,152","10,006","8,845","9,017","8,445","6,911","7,250","7,162","8,252","7,913","4,976"
Connecticut,"Berlin, Connecticut",,"17,812","8,981","11,224","19,904","16,219","14,007","16,332","21,189","23,363","25,594","24,108","23,465","23,196","11,699"
Connecticut,"Bridgeport, Connecticut",,"98,572","56,891","54,364","94,551","90,174","87,023","83,211","80,199","80,571","80,309","84,446","76,653","72,809","27,818"
Connecticut,"Hartford, Connecticut",,"149,625","75,866","93,865","172,178","150,611","127,805","138,682","171,690","179,186","187,357","179,536","173,554","170,060","79,467"
Connecticut,"Meriden, Connecticut",,"16,373","8,032","10,244","17,676","16,495","12,703","17,735","27,602","30,466","35,475","34,483","34,582","35,904","13,131"
Connecticut,"Mystic, Connecticut",,"24,160","14,284","14,623","28,662","28,017","25,687","25,704","23,814","23,083","23,490","25,983","23,091","20,787","7,380"
Connecticut,"New Haven State Street, Connecticut",,"15,727","5,972","2,273","2,912",,,,,,,,,,
Connecticut,"New Haven State Street, Connecticut",Service began 6/18,,,,,117,,,,,,,,,
Connecticut,"New Haven, Connecticut",,"617,119","347,544","425,723","778,534","697,603","627,065","642,471","698,656","714,146","745,530","755,669","740,902","723,287","327,178"
Connecticut,"New London, Connecticut",,"138,728","85,366","83,353","164,454","161,111","161,916","158,700","154,614","154,532","161,405","173,003","165,819","162,396","73,731"
Connecticut,"Old Saybrook, Connecticut",,"61,265","33,194","33,980","70,366","67,501","64,328","62,269","60,833","60,413","60,310","65,315","65,937","63,929","28,248"
Connecticut,"Stamford, Connecticut",,"269,195","133,681","210,417","429,103","416,315","410,593","401,548","394,824","401,414","388,733","393,703","385,069","355,232","141,723"
Connecticut,"Wallingford, Connecticut",,"7,141","3,317","5,164","9,305","9,555","8,258","9,377","13,245","14,331","17,061","18,148","15,583","15,190","5,284"
Connecticut,"Windsor Locks, Connecticut",,"19,733","8,907","12,768","25,408","18,333","15,155","17,053","21,082","13,677","18,711","18,491","15,503","15,812","5,437"
Connecticut,"Windsor, Connecticut",,"12,987","6,586","8,532","16,717","11,091","8,638","9,167","12,857","19,957","13,235","11,713","10,269","10,219","4,103"
Delaware,"Georgetown, Delaware",,,,,,,,,,,,,,,420
Delaware,"Newark, Delaware",,"22,125","8,888","7,101","12,100","13,432","13,614","12,896","12,636","12,418","12,971","14,682","10,641","9,300","2,206"
Delaware,"Wilmington, Delaware",,"433,876","227,919","348,457","705,259","702,150","688,432","691,694","700,341","704,523","738,313","737,846","717,772","696,979","387,328"
District of Columbia,"Washington Union Station, District of Columbia",,"3,631,677","1,758,409","2,606,059","5,207,223","5,197,237","5,225,460","5,098,562","4,971,128","5,028,928","5,033,392","5,013,991","4,850,685","4,572,878","1,880,852"
Florida,"Chipley, Florida",,,,,,,,,,,,,,,718
Florida,"Crestview, Florida",,,,,,,,,,,,,,,539
Florida,"Dade City, Florida",,,,,,,,,,,,,,,77
Florida,"Deerfield Beach, Florida",,"15,142","11,094","12,262","21,066","22,230","23,836","24,524","26,777","28,404","30,048","32,180","31,338","29,955","11,716"
Florida,"DeLand, Florida",,"13,442","10,433","12,338","20,453","20,677","20,827","22,374","24,310","26,063","26,502","28,553","28,663","25,982","9,782"
Florida,"Delray Beach, Florida",,"10,476","7,194","8,829","14,752","13,643","13,782","13,180","14,652","13,703","13,280","13,448","12,696","11,626","3,753"
Florida,"Fort Lauderdale, Florida",,"31,194","23,073","26,357","41,218","40,838","41,377","42,684","46,971","52,384","53,955","56,913","58,907","54,434","20,552"
Florida,"Hollywood, Florida",,"17,060","13,042","13,067","21,652","22,592","24,621","26,069","28,332","32,980","34,869","38,805","39,069","37,967","14,783"
